video_id,title,publish_time,views,likes,comments,like_to_view_ratio,year
LXwfzIRD-Ds,SQL Basics Tutorial For Beginners | Group By + Order By Statements | 4/4,2020-03-03 15:06:36+00:00,340393,8316,236,0.0244305846477454,2020
A9TOuDZTPDU,SQL Basics Tutorial For Beginners | Where Statement | 3/4,2020-03-02 16:01:01+00:00,358719,6206,156,0.0173004496555799,2020
PyYgERKq25I,SQL Basics Tutorial For Beginners | Select + From Statements | 2/4,2020-03-01 17:02:28+00:00,523331,7494,306,0.0143198090692124,2020
RSlqWnP-Dy8,SQL Basics Tutorial For Beginners | Installing SQL Server Management Studio and Create Tables | 1/4,2020-03-01 00:50:38+00:00,1466209,18645,2062,0.0127164681160734,2020
9o9loJpG-t4,Data Analyst Fact Check |  84k Average Starting Salary?? | The Career Force 2020 Data Analyst Salary,2020-02-26 15:11:22+00:00,26043,852,162,0.0327151249856007,2020
Lacbh0VoT3g,Data Analyst Resume | Reviewing YOUR Data Analyst Resumes!,2020-02-24 16:34:51+00:00,26962,551,40,0.0204361694236332,2020
oZKs2xMbXQE,Data Analyst Salary in 2020,2020-02-19 15:43:59+00:00,8286,157,26,0.018947622495776,2020
N8f7NtDpbxA,Working With a Recruiter to Land Your First Job as a Data Analyst | LinkedIn Recruiters,2020-02-14 18:03:34+00:00,15073,640,39,0.0424600278643932,2020
wcKzdRVsMOw,Switching Careers to Become a Data Analyst | How I Made the Switch,2020-02-11 15:03:18+00:00,50555,1813,251,0.0358619325487093,2020
Ns-8Jsa3mEM,Data Analyst Resume | Complete Guide To Creating A Data Analyst Resume | Tips + Templates + Examples,2020-02-06 16:00:52+00:00,125866,3588,104,0.0285065069200578,2020
4rfr6A3lO-Y,Data Analyst Resume | Reviewing My Resume! | Fortune 500 Data Analyst,2020-01-30 14:07:55+00:00,80579,1744,63,0.0216433562094342,2020
OTq2NRy_AGs,Working at a Big Company Vs Small Company | Told by a Fortune 500 Data Analyst,2020-01-25 16:38:39+00:00,15936,425,23,0.0266691767068273,2020
ya28cb3zFGE,Data Analyst Salary | 100k with No Experience,2020-01-23 03:16:09+00:00,66217,2237,229,0.0337828654273071,2020
Hsi2BG0SOiQ,Truth About Big Companies | Told by a Fortune 500 Data Analyst,2020-01-21 03:52:15+00:00,9685,344,20,0.0355188435725348,2020
6lQzbk6_OTw,Top 3 Data Analyst Skills in 2020,2020-01-17 14:31:39+00:00,30839,1459,142,0.0473102240669282,2020
